"id","name","gng","etsng"
"1499","Газеты и периодические издания","49029000",""
"1500","Газеты и периодические издания,к.п.о.","49029090",""
"1501","Ноты,печатные или рукописные,в переплете или непереплетенные,иллюстрированные или неиллюстрированные","49040000",""
"1502","Глобусы","49051000","683047"
"1503","Карты географические и гидрографические или подобные карты всех видов,включая атласы,отпечатанные в виде книг","49059100",""
"1504","Планы и чертежи,выполненные от руки,рукописные;тексты рукописные,фоторепродукции и копии экземпляры этих товаров","49060000",""
"1505","Материалы рекламные торговые и подобная продукция","49111090",""
"1506","Продукция печатная","49119900",""
"1507","Коконы шелкопряда,пригодные для разматывания","50010000",""
"1508","Шелк-сырец (некрученый)","50020000",""
"1509","Отходы шелковые","50039000",""
"1510","Нить шелковая (исключая пряжу из шелковых отходов),не расфасованные","50040000",""
"1511","Нить шелковая (исключая пряжу из шелковых отходов),не расфасованные,неотбеленная,промытая или отбеленная","50040010",""
"1512","Шерсть нечесаная,немытая,к.п.о.","51011900",""
"1513","Шерсть нечесаная,мытая,некарбонизованная,стриженая","51012100",""
"1514","Отходы шерсти и тонкого волоса животных,кроме очесов","51032000",""
"1515","Волос животных тонкий гребнечесаный","51053990",""
"1516","Пряжа шерстяная аппаратного прядения,шерсть от 85%","51061000",""
"1517","Пряжа шерстяная гребенного прядения с синтетическими волокнами,шерсть до 85%","51072059",""
"1518","Ткани шерстяные аппаратного прядения","51119000",""
"1519","Волокно хлопковое,без кардо- и гребнечесания,гигроскопическое или отбеленное","52010010",""
"1520","Волокно хлопковое,без кардо- и гребнечесания","52010090",""
"1521","Отходы хлопкового волокна прядильные и путанка","52021000",""
"1522","Отходы хлопкового волокна,к.п.о.","52029900",""
"1523","Волокно хлопковое,кардо- или гребнечесанное","52030000",""
"1524","Нитки х/б швейные,не расфасованные","52041900",""
"1525","Пряжа х/б,хлопок от 85%,не расфасованная","52050000",""
"1526","Ткани х/б полотняного плетения,хлопок от 85%,отбеленные,плотность до 100г/м2","52082100",""
"1527","Лен-сырец и лен-моченец","53011000",""
"1528","Лен мятый или трепаный","53012100",""
"1529","Лен чесаный обработанный,не подвергнутый прядению","53012900",""
"1530","Очесы льна","53013010","621133"
"1531","Отходы льна","53013090",""
"1532","Пенька-сырец и пенька моченая","53021000",""
"1533","Очесы и отходы пеньки, включая прядильные отходы и расщипанное сырье","53029000",""
"1534","Волокно джутовое и другие текстильные лубяные волокна,в виде сырца или после мочки","53031000",""
"1535","Очесы и отходы джутовых и других лубяных волокон,прядильные отходы и расщипанное сырье","53039000",""
"1536","Волокно сизаля и другие волокна растений рода Agave обработанные,непряденные,их очесы и отходы","53049000",""
"1537","Волокно рами и другие растительные текстильные волокна,непряденные,их очесы и отходы","53059000",""
"1538","Пряжа льняная однониточная","53061000",""
"1539","Пряжа льняная крученая,не расфасованная","53062010",""
"1540","Пряжа из джутовых и других лубяных волокон крученая","53072000",""
"1541","Пряжа пеньковая","53082000","622128"
"1542","Пряжа из растительных текстильных волокон,к.п.о.","53089090",""
"1543","Ткани льняные,лен до 85%,к.п.о.","53092900",""
"1544","Нитки швейные из синтетических нитей","54011000",""
"1545","Нити синтетические,крученые,плотность до 67дтекс,кроме полиамидных и полиэфирных","54026900",""
"1546","Волокна из полиамидов неготовые для прядения","55031000",""
"1547","Волокна полиэфирные неготовые для прядения","55032000",""
"1548","Волокна акриловые неготовые для прядения","55033000",""
"1549","Волокна синтетические неготовые для прядения","55039000",""
"1550","Волокна искусственные неготовые для прядения","55049000",""
"1551","Пряжа из искусственных волокон,к.п.о.","55109000",""
"1552","Ткани из синтетических нитей,с химическими нитями","55159100",""
"1553","Вата хлопковая и изделия из нее","56012100",""
"1554","Вата и изделия из нее","56012900",""
"1555","Войлок,фетр иглопробивные из текстильных материалов","56021019",""
"1556","Полотно нетканое из химических нитей,плотность от 150г/м2","56031490",""
"1557","Полотно нетканое из химических нитей,прочие,плотность от 150г/м2,кроме материалов с покрытием","56039490",""
"1558","Нить плоская и подобная нить позиций 5404,5405;позументная пряжа синель","56060099",""
"1559","Веревки,канаты и тросы из резины или пластмассы","56070000",""
"1560","Шпагат упаковочный из сизаля","56072100",""
"1561","Веревки,канаты и тросы из сизаля и волокон растений рода Agave,","56072900",""
"1562","Шпагат упаковочный из полиэтилена или полипропилена","56074100",""
"1563","Веревки,канаты и тросы,кроме указанных в позициях 5607 10 - 5607 50","56079000",""
"1564","Сети рыболовные из полиамидов,из нитей","56081119",""
"1565","Сетки и сети,к.п.о.","56089000",""
"1566","Изделия из нитей или пряжи,плоских и аналогичных нитей позиций 5404,5405,бечевок,веревок,канатов,к.п.о.","56090000",""
"1567","Ковры узелковые и текстильные напольные покрытия,готовые или неготовые","57010000",""
"1568","Ковры узелковые,напольные покрытия из текстильных материалов","57019000",""
"1569","Покрытия ворсовые из шерсти,готовые","57024100",""
"1570","Покрытия безворсовые из текстильных материалов,готовые,к.п.о.","57029900",""
"1571","Ковры прочие текстильные напольные покрытия тафтинговые,готовые или неготовые","57030000",""
"1572","Ковры и текстильные напольные покрытия из войлока,нетафтинговые или нефлокированные,готовые или неготовые","57049000",""
"1573","Ковры и покрытия,готовые или неготовые","57050000",""
"1574","Тюль и сетчатые полотна,к.п.о.","58041090",""
"1575","Вышивки в куске,лентах и в форме орнаментов,из текстильных материалов,цена до 17,50евро/кг,к.п.о.","58109990",""
"1576","Материалы текстильные,просмоленные или накрахмаленные,для изготовления книжных переплетов;калька;бортовка","59010000",""
"1577","Материалы текстильные просмоленные или накрахмаленные,для изготовления книжных переплетов и т.п.целей","59011000",""
"1578","Материалы текстильные,пропитанные,покрытые или дублированные пластмассами,кроме материалов позиции 5902,","59039000",""
"1579","Материалы текстильные,покрытие или дублированные пластмассами,к.п.о.","59039099",""
"1580","Линолеум","59041000","252079"
"1581","Материалы текстильные прорезиненные,кроме материалов позиции 5902,к.п.о.","59069900",""
"1585","Полотно промасленное и текстильные материалы,покрытые препаратами на основе высыхающих масел","59070010",""
"1586","Материалы текстильные,пропитанные или покрытые;расписанные холсты,являющиеся декорациями,к.п.о.","59070090",""
"1587","Фитили текстильные для ламп,керосинок,зажигалок,калильные сетки для газовых фонарей и трубчатое полотно для них","59080000",""
"1588","Шланги,трубки из синтетических нитей","59090010",""
"1589","Ленты конвейерные и ремни приводные из текстильных материалов","59100000",""
"1590","Ткани фильтровальные,используемые в прессах для отжима масла и т.п.,включая ткани из человеческого волоса","59114000",""
"1591","Изделия текстильные для технических целей из примечания 7 к данной главе,не из войлока или шерсти","59119090",""
"1592","Полотна вязаные","60069000",""
"1593","Платья из текстильных материалов вязаные,женские","61044900",""
"1594","Брюки из текстильных материалов вязаные","61046910",""
"1595","Блузки из текстильных материалов вязаные,женские,к.п.о.","61069090",""
"1596","Свитеры и пуловеры из текстильных материалов вязаные,к.п.о.","61109090",""
"1597","Одежда детская и принадлежности к ней вязаные из текстильных материалов","61119000",""
"1598","Костюмы спортивные,лыжные и купальные трикотажные,вязаные","61120000",""
"1599","Костюмы спортивные вязаные из х/б пряжи","61121100",""
"1600","Предметы одежды вязаные из текстильных материалов","61149000",""
"1601","Изделия чулочно-носочные вязаные из текстильных материалов","61159900",""
"1602","Перчатки,рукавицы из текстильных материалов вязаные","61169900",""
"1603","Шали,шарфы,вуали трикотажные,вязаные","61171000",""
"1604","Пальто,плащи из текстильных материалов,мужские,к.п.о.","62011900",""
"1605","Куртки,ветровки из текстильных материалов,мужские,к.п.о.","62019900",""
"1606","Пальто,плащи из текстильных материалов,женские,к.п.о.","62021900",""
"1607","Костюмы из текстильных материалов,кроме шерстяных и синтетических,мужские","62031900",""
"1608","Пиджаки из текстильных материалов,мужские,к.п.о.","62033990",""
"1609","Брюки,комбинезоны лямочные,шорты из шерсти,мужские","62034100",""
"1610","Комбинезоны лямочные из х/б пряжи,мужские,к.п.о.","62034259",""
"1611","Платья из текстильных материалов,женские,к.п.о.","62044990",""
"1612","Рубашки из текстильных материалов,мужские,к.п.о.","62059090",""
"1613","Платки из текстильных материалов,к.п.о.","62139000",""
"1614","Шарфы,шали,вуали из текстильных материалов,к.п.о.","62149090",""
"1615","Перчатки,рукавицы","62160000",""
"1616","Одеяла и пледы дорожные,к.п.о.","63019090",""
"1617","Белье постельное из х/б ткани","63023100",""
"1618","Белье столовое из х/б ткани","63025100",""
"1619","Белье столовое из текстильных материалов","63025900",""
"1620","Занавеси,внутренние шторы и ламбрекены из текстильных материалов,к.п.о.","63039990",""
"1621","Контейнеры гибкие промежуточные большой емкости","63053290",""
"1622","Мешки и пакеты упаковочные,к.п.о.","63053900",""
"1623","Брезенты,тенты из х/б тканей","63061100",""
"1624","Брезенты,тенты из текстильных материалов","63061900",""
"1625","Палатки из текстильных материалов","63062900",""
"1626","Матрацы надувные из текстильных материалов","63064900",""
"1627","Тряпки для мытья полов,посуды,удаления пыли и подобные протирочные материалы","63071090",""
"1628","Жилеты и пояса спасательные","63072000",""
"1629","Изделия готовые,из войлока или фетра","63079091",""
"1630","Готовые изделия,к.п.о.","63079099",""
"1631","Тряпье б/у и новое,куски веревок,канатов и изделия из бечевок,веревок,канатов,тросов,текстиля","63101000",""
"1632","Тряпье б/у и новое,куски веревок,канатов и изделия из веревок,канатов сортированные,из текстильных материалов","63101090",""
"1633","Тряпье б/у и новое,куски веревок,канатов и тросов и изделия из бечевок,веревок,канатов или тросов","63109000",""
"1634","Обувь из резины,пластмассы водонепроницаемая,к.п.о.","64019900",""
"1635","Сапоги,полусапоги из кожи (подошва,верх),женские,стелька от 24см","64035199",""
"1636","Обувь,кроме указанной в позициях 6401-6404","64050000",""
"1637","Обувь из текстиля (подошва из дерева,пробки)","64052010",""
"1638","Подошвы и каблуки из резины или пластмассы","64062000",""
"1639","Подошвы и каблуки из резины","64062010",""
"1640","Подошвы и каблуки из пластмассы","64062090",""
"1641","Стельки вкладные,подпяточники и подобные изделия,гетры,гамаши и подобные изделия,их части","64069900",""
"1642","Уборы головные защитные,к.п.о.","65061080",""
"1643","Уборы головные из натурального меха","65069200",""
"1644","Уборы головные,к.п.о.","65069900",""
"1645","Зонты,к.п.о.","66019990",""
"1646","Трости,хлысты,кнуты для верховой езды и подобные изделия","66020000",""
"1647","Цветы,листья и плоды искусственные и их части,изделия из искусственных цветов,листьев или плодов","67029000",""
"1648","Парики,бороды накладные,брови,ресницы и подобные изделия из человеческого волоса","67042000",""
"1649","Брусчатка,камни и плиты бордюрные для мощения из природного камня (кроме сланца)","68010000",""
"1650","Камни,тесаные или пиленые,с плоской или ровной поверхностью,для строительства и памятников,к.п.о.","68022900",""
"1651","Изделия из мрамора,травертина и алебастра","68029100",""
"1652","Изделия из алебастра,полированные,декорированые или с подобной обработкой,к.п.о.","68029110",""
"1653","Изделия из гранита,к.п.о.","68029390",""
"1654","Изделия из обработанного камня для строительства и памятников,к.п.о.","68029990",""
"1655","Сланец обработанный,к.п.о.","68030090",""
"1656","Жернова и камни точильные для шлифовки,заточки или измельчения","68041000",""
"1657","Камни точильные,круги шлифовальные и т.п.,из природного камня","68042300",""
"1658","Камни для ручной заточки или полировки","68043000",""
"1659","Порошок,зерно природные или искусственные абразивные на тканой,бумажной,картонной или иной основе,разрезанной или сшитой","68050000",""
"1660","Полотна наждачные только на бумажной,картонной основе","68052000",""
"1661","Шлаковата,вата минеральная силикатная и подобные минеральные ваты (включая их смеси)","68061000",""
"1662","Вермикулит расслоенный,глины вспученные,шлак вспененный и вспученные минеральные продукты,включая их смеси","68062000",""
"1663","Продукты минеральные вспученные и вспененные (включая их смеси),","68062090",""
"1664","Продукты минеральные,","68069000",""
"1665","Изделия из асфальта и т.п. материалов (из нефтяного битума или каменноугольного пека)","68070000",""
"1666","Изделия из асфальта и т.п. материалов (из нефтяного битума или каменно угольного пека),в рулонах","68071000",""
"1667","Изделия из асфальта,пека и т.п. материалов,в рулонах,материалы кровельные и облицовочные","68071010",""
"1668","Изделия из асфальта,пека и т.п. материалов,кроме материалов в рулонах","68079000",""
"1669","Панели,плиты,плитки и изделия из растительных волокон и древесины,агломерированных с минеральными связующими веществами","68080000",""
"1670","Плиты,листы,панели,плитки и подобные изделия,без орнамента,покрытые или армированные бумагой или картоном","68091100",""
"1671","Плиты,листы,панели,плитки и подобные изделия,без орнамента,кроме покрытых или армированных бумагой или картоном","68091900",""
"1672","Изделия из гипса или смесей на его основе","68099000",""
"1673","Изделия из цемента,бетона или искусственного камня,неармированные или армированные","68100000",""
"1674","Блоки строительные и кирпичи","68101100",""
"1675","Блоки строительные и кирпичи из облегченного бетона с основой из пемзы,шлака и подобных материалов","68101110",""
"1676","Блоки строительные и кирпичи,кроме из облегченного бетона с основой из пемзы,шлака и подобных материалов","68101190",""
"1677","Черепица","68101910",""
"1678","Плитка,в том числе тротуарная,из бетона","68101931",""
"1679","Изделия из цемента,бетона или искусственного камня,кроме черепицы и плитки тротуарной","68101990",""
"1680","Блоки сборные строительные","68109100",""
"1681","Блоки сборные как части пола строительные","68109110",""
"1682","Блоки сборные строительные,к.п.о.","68109190",""
"1683","Изделия из цемента,бетона или искусственного камня,к.п.о.","68109900",""
"1684","Листы гофрированные","68111000",""
"1685","Листы,панели,плитки,кроме листов для отделки крыш или стен,размер до 40 х 60см","68112080",""
"1686","Трубы и фитинги к ним","68113000",""
"1687","Изделия из асбоцемента,из цемента с волокнами целлюлозы или из аналогичных материалов,","68119000",""
"1688","Бумага,картон и войлок из асбеста","68126000",""
"1689","Изделия из асбеста","68129000",""
"1690","Волокно асбестовое обработанное,смеси на основе асбеста или асбеста и карбоната магния","68129030",""
"1694","Накладки тормозных колодок не смонтированные","68131090",""
"1695","Пластины,листы и ленты из агломерированной или регенерированной слюды","68141000",""
"1696","Изделия из слюды,","68149000",""
"1697","Изделия из графита и углеродистых материалов,кроме волокон,не используемые в электротехнике","68151090",""
"1698","Изделия из торфа","68152000",""
"1699","Изделия из камня,содержащие магнезит,доломит или хромит","68159100",""
"1700","Изделия из камня,кроме содержащих магнезит,доломит или хромит","68159900",""
"1701","Изделия из камня,из огнеупорных материалов,с химическими связующими веществами","68159910",""
"1702","Изделия из камня,кроме изделий из огнеупорных материалов,с химическими связующими веществами","68159990",""
"1703","Кирпич керамический из кремнеземистой каменной муки,кремнеземистых пород,масса от 650кг/м3","69010010",""
"1704","Изделия керамические из кремнеземистой каменной муки,кремнеземистых пород,","69010090",""
"1705","Кирпичи,блоки,плитки и подобные огнеупорные керамические строительные материалы,","69029000",""
"1707","Изделия керамические огнеупорные,содержащие от 50% графита или других форм углерода,или смеси этих продуктов","69031000",""
"1708","Изделия керамические огнеупорные,к.п.о.","69039080",""
"1710","Кирпич строительный керамический","69041000",""
"1711","Трубы керамические,трубопроводы изоляционные,водоотводы и фитинги труб","69060000",""
"1712","Плитки,кубики керамические глазурованные,прямоугольной или другой формы,наибольшая грань которых до 7см","69081000",""
"1713","Плитки и кубики керамические глазурованные","69089000",""
"1714","Изделия керамические для лабораторных и технических целей,к.п.о.","69091900",""
"1715","Раковины,умывальники,консоли раковин,ванны,биде,унитазы,сливные бачки,писсуары и подобные изделия из керамики","69100000",""
"1716","Изделия санитарно-технические из керамики,","69109000",""
"1717","Посуда столовая и кухонная из фарфора","69111000",""
"1718","Статуэтки и декоративные изделия из керамики,кроме фарфора","69139000",""
"1719","Статуэтки и декоративные изделия из керамики","69139099",""
"1720","Изделия керамические","69140000",""
"1721","Изделия керамические из фарфора","69141000",""
"1722","Изделия керамические из материалов,кроме фарфора","69149000",""
"1723","Отходы стекла и бой","70010010",""
"1724","Шары из стекла,необработанные","70021000",""
"1725","Стекло неармированное литое и прокатанное в листах,тонированное в объеме,глушенное,с поглощающим,отражающим слоем","70031299",""
"1726","Стекло неармированное литое и прокатанное в листах","70031900",""
"1727","Стекло неармированное литое и прокатанное в листах,кроме оптического","70031990",""
"1728","Стекло неармированное,толщина от 3,5 до 4,5мм","70052935",""
"1729","Стекло армированное","70053000",""
"1730","Стекло упрочненное безопасное для наземного транспорта","70071110",""
"1731","Стекло многослойное безопасное","70072900",""
"1732","Изделия из стекла многослойные,изолирующие","70080000",""
"1733","Зеркала стеклянные без рам","70099100",""
"1734","Бутыли,бутылки,флаконы,кувшины,банки,ампулы,стеклянные емкости;банки для консервирования;предохранительные пробки","70100000",""
"1735","Тара из бесцветного стекла,емкость от 1л","70109041",""
"1736","Баллоны стеклянные открытые,их стеклянные части,без фитингов,для электрических ламп,электронно-лучевых трубок","70110000",""
"1737","Баллоны стеклянные открытые,их стеклянные части,без фитингов,для электроосветительного оборудования","70111000",""
"1738","Баллоны стеклянные открытые,их стеклянные части,без фитингов,к.п.о.","70119000",""
"1739","Колбы стеклянные для термосов или для других вакуумных сосудов","70120000",""
"1740","Предметы интерьера из хрусталя ручного набора","70139110",""
"1741","Стекла для часов,очков,не корректирующих зрение,стеклянные сферы и их сегменты для изготовления стекол для часов и очков","70159000",""
"1742","Кубики стеклянные и прочие небольшие стеклянные формы,для мозаичных и подобных декоративных работ","70161000",""
"1743","Камень строительный,плиты,плитки,черепица,из стекла,кроме кубиков стеклянных и небольших стеклянных форм","70169000",""
"1744","Камень строительный,плиты,плитки,черепица,из стекла,кроме витражей и прочих аналогичных изделий","70169080",""
"1745","Изделия стеклянные,лабораторные,для гигиенических,фармацевтических целей,из плавленого кварца и кремнеземов","70171000",""
"1746","Изделия стеклянные,лабораторные,для гигиенических,фармацевтических целей","70179000",""
"1747","Изделия галантерейные из стекла;украшения из стекла,кроме глаз стеклянных;предметов в виде небольших форм из стекла","70189090",""
"1748","Стекловолокно","70191900",""
"1749","Стекловолокно из волокон","70191990",""
"1750","Стеклоткани шириной до 30см","70195100",""
"1751","Ткани","70195900","631004"
"1752","Стекловолокно и изделия из него","70199000",""
"1753","Изделия из стекловолокна","70199099",""
"1754","Изделия из стекла","70200000",""
"1755","Трубки кварцевые реакторные и держатели для установки в диффузионных и окислительных печах для полупроводниковых материалов","70200005",""
"1756","Изделия из плавленого кварца или других плавленых кремнеземов","70200010",""
"1757","Алмазы обработанные,промышленные","71022900",""
"1758","Камни драгоценные,полудрагоценные,кроме рубинов,сапфиров и изумрудов","71039900",""
"1759","Серебро в порошке необработанное","71069100",""
"1760","Изделия ювелирные из серебра","71131100",""
"1761","Изделия из металлов,плакированных драгоценными металлами","71159090",""
"1762","Изделия из драгоценных или полудрагоценных камней (природных,искусственных или реконструированных),прочие","71162090",""
"1763","Чугун передельный и зеркальный в чушках,болванках или первичных формах","72010000",""
"1764","Чугун передельный нелегированный,фосфор до 0,5%","72011000",""
"1765","Чугун передельный нелегированный,фосфор до 0,5%,марганец от 0,4%,кремний до 1%","72011011",""
"1766","Чугун передельный нелегированный,фосфор от 0,5%","72012000",""
"1767","Чугун передельный легированный;чугун зеркальный","72015000",""
"1768","Чугун передельный легированный;чугун зеркальный,к.п.о.","72015090",""
"1769","Ферросплавы","72020000","313003"
"1770","Ферромарганец,углерод от 2%,к.п.о.","72021180",""
"1771","Ферросилиций,кремний от 80%","72022190",""
"1772","Ферросилиций,кремний до 55%","72022900",""
"1773","Ферросиликомарганец","72023000",""
"1774","Ферросиликохром","72025000",""
"1775","Ферросплавы,кроме указанных в позициях 7202 11 - 7202 93","72029900",""
"1776","Железо с примесями до 0,06%,пористые чернометаллургические изделия,получаемые без непосредственного закисления","72039000",""
"1777","Отходы,лом черных металлов,слитки черных металлов для переплавки","72040000",""
"1778","Отходы,лом литейного чугуна","72041000",""
"1779","Отходы,лом коррозионностойкой стали","72042100",""
"1780","Отходы,лом коррозионностойкой стали,никель до 8%","72042190",""
"1781","Отходы из черных металлов токарные,фрезерные и от штамповки","72044100",""
"1782","Отходы из черных металлов,обрезки и штамповки,пакетированные","72044191",""
"1783","Отходы из черных металлов,обрезки и штамповки,к.п.о.","72044199",""
"1784","Отходы,лом черных металлов,несортированные по составу,пакетированные,к.п.о.","72044930",""
"1785","Слитки шихтовые из черных металлов","72045000",""
"1786","Гранулы из черных металлов,кроме ферросплавов","72051000",""
"1787","Порошки из легированной стали","72052100",""
"1788","Железо,сталь в слитках и первичных формах","72060000",""
"1789","Слитки из железа,стали","72061000",""
"1790","Железо,сталь в первичных формах,кроме слитков","72069000",""
"1791","Полуфабрикаты из железа или нелегированной стали","72070000",""
"1792","Блюмы,заготовки квадратные,заготовки кованые квадратные из железа,стали,углерод до 0,25%","72071100",""
"1793","Слябы,сутунки,заготовки кованые неквадратные из железа,стали,углерод до 0,25%","72071200",""
"1794","Заготовки круглые из железа,стали,кроме кованых,углерод до 0,25%,к.п.о.","72071916",""
"1795","Слябы,сутунки из железа,стали,углерод от 0,25%","72072032",""
"1796","Прокат плоский широкий из железа,стали,горячекатаный,к.п.о.","72089090",""
"1797","Прокат плоский широкий из железа,стали,холоднокатаный,кроме указанного в позициях 7209 15 - 7209 28","72099000",""
"1798","Прокат плоский широкий из железа,стали с покрытием оловом,толщина до 0,5мм","72101200",""
"1799","Прутки из железа,стали в бухтах,горячекатаные","72130000",""
"1800","Прутки из автоматной стали,холоднодеформированные,к.п.о.","72151000",""
"1801","Уголки,фасонные и специальные профили из железа,стали","72160000",""
"1802","Швеллеры из железа,стали,горячеобработаные,высота от 80мм","72163100",""
"1803","Двутавры из железа,стали,горячеобработаные,высота от 80 до 220мм,к.п.о.","72163219",""
"1804","Профили неравнобокие угловые или тавровые из железа,стали,горячеобработаные","72164000",""
"1805","Профили фасонные,холоднодеформированные,без особой обработки поверхности,к.п.о.","72166900",""
"1806","Проволока из железа,стали с покрытием недрагоценными металлами,кроме оцинкованной","72173000",""
"1807","Проволока из железа,стали с покрытием,углерод от 0,6%,к.п.о.","72179090",""
"1808","Слитки и первичные формы","72241000",""
"1809","Прокат плоский из легированной стали,горячекатаный,ширина до 600мм","72269100",""
"1810","Прокат плоский из легированной стали,горячекатаный,ширина до 600мм,толщина до 4,75мм","72269190",""
"1811","Прокат плоский из легированной стали неэлектролитически оцинкованный,горячекатаный,ширина до 500,плакированный","72269420",""
"1812","Прокат плоский из легированной стали оцинкованный,ширина до 600мм,к.п.о.","72269480",""
"1813","Прокат плоский из легированной стали,горячекатаный,ширина до 500,плакированный,к.п.о.","72269920",""
"1814","Изделия из черных металлов,используемые для железнодорожных или трамвайных путей","73020000",""
"1815","Рельсы новые массой погонного метра от 20кг","73021031",""
"1816","Рельсы использованные","73021090",""
"1817","Рельсы переводные,крестовины глухого пересечения,переводные штанги и поперечные соединения","73023000",""
"1818","Накладки стыковые и подкладки опорные","73024000",""
"1819","Изделия из черных металлов,используемые для железнодорожных или трамвайных путей,","73029000",""
"1820","Изделия из черных металлов,используемые для железнодорожных или трамвайных путей,к.п.о.","73029090",""
"1821","Трубы и трубки из чугуна для систем,работающих под давлением","73030010",""
"1822","Трубы для нефте-,газопроводов бесшовные,из черных металлов,нечугуные","73041000",""
"1823","Трубы для нефте-,газопроводов бесшовные,из черных металлов,нечугуные,диаметр от 406,4мм","73041090",""
"1824","Трубы и профили полые,бесшовные,круглые,из железа,стали","73043900",""
"1825","Трубы и профили полые из коррозионностойкой стали,холоднотянутые,бесшовные,круглые,с фитингами,для газов,жидкостей,для авиации","73044110",""
"1826","Трубы для нефте-,газопроводов сварные прямошовные,круглые,диаметр от 406,4мм,из черных металлов","73051200",""
"1827","Трубы,трубки и профили сварные,круглые,из легированной стали,кроме труб прецизионных","73065099",""
"1828","Трубы и профили полые из черных металлов","73069000",""
"1829","Фитинги для труб и трубок (соединения,колена,сгоны) из черных металлов","73070000",""
"1830","Фитинги литые из нековкого чугуна,для систем,работающих под давлением","73071110",""
"1831","Металлоконструкции из черных металлов и их части;листы,прутки,уголки,фасонные профили,трубы из черных металлов","73080000",""
"1833","Башни и решетчатые мачты","73082000",""
"1834","Двери,окна,их рамы и пороги для дверей","73083000",""
"1835","Оборудование для металлических строительных лесов,опалубок,подпорных стенок или шахтной крепи","73084000",""
"1836","Шахтная крепь","73084010",""
"1837","Оборудование для металлических строительных лесов,опалубок,подпорных стенок,кроме шахтной крепи","73084090",""
"1840","Панели,состоящие из двух стенок из гофрированного листа с изоляционным наполнителем","73089051",""
"1841","Металлоконструкции из черных металлов и их части,изготовленные из листового материала","73089059",""
"1842","Металлоконструкции из черных металлов и их части,прочие,кроме металлоконструкций из листового материала","73089099",""
"1843","Резервуары,цистерны,баки из черных металлов для газов,кроме сжатого,сжиженного газа","73090010",""
"1844","Цистерны,бочки,барабаны,канистры,ящики и т.п. емкости,из черных металлов,для любых веществ,вместимость от 50л","73101000",""
"1845","Банки консервные из жести,стали для пищевых продуктов,закрываемые пайкой,отбортовкой","73102111",""
"1846","Цистерны,бочки,канистры и т.п. емкости,из черных металлов,негазовые,вместимость до 50л,толщина стенки до 0,5мм","73102910",""
"1847","Цистерны,бочки,канистры и т.п. емкости,из черных металлов,негазовые,вместимость до 50л,толщина стенки от 0,5мм","73102990",""
"1848","Емкости из черных металлов,для сжатого,сжиженного газа,бесшовные","73110010",""
"1849","Емкости из черных металлов,для сжатого,сжиженного газа,вместимость от 1000л","73110099",""
"1850","Проволока скрученная,тросы из черных металлов,без электроизоляции","73121000",""
"1851","Тросы из черных металлов,без электроизоляции,кроме коррозионно-стойкой стали,сечение от 3мм","73121099",""
