"id","name","gng","etsng"
"111","Чеснок свежий","07032000","041341"
"112","Лук-порей и луковичные овощи свежие","07039000",""
"113","Капуста свежая,кроме цветной,брокколи и брюссельской","07049000",""
"114","Цикорий свежий,к.п.о.","07052900",""
"115","Морковь и репа свежие","07061000",""
"116","Корнеплоды свежие,кроме моркови и репы","07069000",""
"117","Хрен свежий","07069030","041320"
"118","Корнеплоды пищевые свежие,к.п.о.","07069090",""
"119","Огурцы свежие","07070005","041142"
"120","Горох свежий","07081000",""
"121","Фасоль свежая","07082000",""
"122","Овощи бобовые свежие,к.п.о.","07089000",""
"123","Артишоки свежие","07091000",""
"124","Спаржа свежая","07092000","041284"
"125","Баклажаны свежие","07093000","041022"
"126","Грибы свежие,кроме трюфелей","07095900",""
"127","Перец свежий,к.п.о.","07096099",""
"128","Шпинат,шпинат новозеландский и шпинат гигантский (шпинат садовый),свежий","07097000",""
"129","Овощи свежие,кроме указанных в позициях 0709 10 - 0709 70","07099000",""
"130","Маслины свежие,к.п.о.","07099039",""
"131","Кабачки свежие","07099070","041087"
"132","Овощи свежие,к.п.о.","07099090",""
"133","Овощи сырые или варенные,мороженые,кроме указанных в позициях 0710 10 - 0710 40","07108000",""
"134","Грибы сушеные,не обработанные","07123900",""
"135","Овощи и овощные смеси сушеные","07129000",""
"136","Картофель сушеный,целый или в ломтиках,не обработанный","07129005",""
"137","Горох сушеный,лущеный","07131000",""
"138","Горох сушеный","07131090",""
"139","Нут сушеный","07132000",""
"140","Фасоль обыкновенная,белая мелкосеменную фасоль,сушеная,лущеная","07133300",""
"141","Бобы кормовые,конские,крупносеменные и мелкосеменные,сушеные,лущеные","07135000",""
"142","Миндаль свежий или сушеный в кожуре","08021100",""
"143","Орех лесной или лещина свежий или сушеный,в скорлупе","08022100",""
"144","Орехи грецкие свежие или сушеные,в скорлупе","08023100",""
"145","Каштаны свежие или сушеные","08024000",""
"146","Фисташки свежие или сушеные","08025000",""
"147","Орехи кедровые свежие или сушенные","08029050",""
"148","Орехи свежие или сушенные","08029085",""
"149","Бананы свежие","08030019","051055"
"150","Инжир свежий","08042010",""
"151","Инжир сушеный","08042090",""
"152","Ананасы свежие или сушеные","08043000",""
"153","Плоды цитрусовые,свежие или сушеные","08050000",""
"154","Апельсины сорта Hавел,Hавелин,Hавелат,Салустиана,Верна,Валенсия поздняя,Мальтеза,Шамоутис,Овалис,Тровита и Гамлин свежие","08051030",""
"155","Мандарины и вилкинги свежие или сушеные","08052050",""
"156","Грейпфруты свежие или сушеные","08054000",""
"157","Лимоны свежие или сушеные","08055010",""
"158","Цитрусовые плоды,свежие или сушеные,","08059000",""
"159","Виноград свежий","08061000","051093"
"160","Виноград сушеный","08062000",""
"161","Дыни,арбузы и папайя свежие","08070000",""
"162","Арбузы свежие","08071100","042018"
